"session","created","modified","ended","expired","id_genero","id_genero_otra","or_sexual","or_sexual_otra","sex_asignado","inter_sex","inst_01","inst_02","inst_03","interp_01a","interp_01b","interp_02a","interp_02b","interp_03a","interp_03b","interp_04","interp_05a","interp_05b","interp_06a","interp_06b","interp_07","tem_1","tem_2","tem_3","tem_4","hetcis_1","hetcis_2","hetcis_3","hetcis_4","hetcis_5"
"","2022-10-25 04:53:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:53:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:54:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:57:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:57:59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:58:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:58:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:58:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:59:10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 04:59:41","2022-10-25 04:59:52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 05:00:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 05:00:19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 05:02:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 05:03:38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 05:04:18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 05:05:22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 05:06:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 17:05:26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 17:07:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 17:07:31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 17:08:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 19:36:01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 20:10:09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R-LPIEmjbiH0Jqm6k-q7wnO8PFDWgri5eey6lRlf7digZSKPQoWISMsLrmxclfOi","2022-10-25 20:47:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:05:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:06:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:07:21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:09:18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:09:53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:10:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:17:19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-25 23:19:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
