"session","created","modified","ended","expired","Part_estudio","Part_estudio_otras","Tiempo_estudio","Tiempo_estudio2","Part_trabajorem","Tiempo_trabajorem","Part_trabajodom","Tiempo_trabajodom","Part_ocio","Tiempo_ocio","Part_personal","Part_personal_otra","Tiempo_personal"
"4MfnfVgl__IT4TFIa0G1eI90uCj6dr9lpbQKz3b7NHg0r6VnJETqqNxurr-UYsFO","2022-11-18 02:35:45","2022-11-18 02:37:43","2022-11-18 02:37:44","","1, 2, 3","","7","","4","","2","3","2","2","1, 2, 3","","5"
"48NFw3VNkbh2eF8C6jxwXRrlAcFdYfnZlVX44n2kP2sO44Xwc8tE2odT5zqXx552","2022-11-18 14:53:54","2022-11-18 14:56:28","2022-11-18 14:56:28","","1, 2, 5","","9","","4","","2","2","2","2","2, 4","","4"
"zZZDKaCfquzi3rUY5wSpHWX3ZUJJxSyXLCXeM9R5lS3O7GafvFz4c5POnruuPlUx","2022-11-18 16:36:30","2022-11-18 16:38:44","2022-11-18 16:38:44","","1, 2, 5","","3","5","4","","2","2","2","1","1, 2, 3","","4"
"fUduv1WDyJXykmz5mvwxG3kYv0CNFovo2dJytIOY-vO4Kv6oBt0etonAJDKCwMt6","2022-11-18 18:20:06","2022-11-18 18:23:09","2022-11-18 18:23:09","","1, 2, 3, 5","","5","4","4","","2","3","3","","1, 2, 3","","1"
"QcQXlOMRiiKF11FsSL53RWYgmB8o9zNk88RrFQlW_KRtvTPVPbjE5CT5cd4TWyKo","2022-11-19 02:24:05","2022-11-19 02:25:44","2022-11-19 02:25:45","","1, 2","","4","1","4","","2","3","2","3","1, 2, 3","","3"
"SgS_LWOQnJ7giEuQaI-mCj7pAcgBjmcibLatbYaXGHpeQ_DuWrzCaAwuagNYBqi3","2022-11-19 07:37:24","2022-11-19 07:39:16","2022-11-19 07:39:16","","1, 2","","4","2","2","1","2","1","2","1","1, 2, 3","","2"
"h_Q5nxB6xweP2h4Vw5pbSMcZEXKGDmUKP8OsH_U71c9gdZp7qOMnFOLESQ0IkeEi","2022-11-21 23:43:35","2022-11-21 23:47:45","2022-11-21 23:47:45","","1","","4","2","3","1","2","2","2","3","1, 2, 3","","4"
"ssxxBSExUXbOhfORvAQMKoH2mPThaqeiTV5WY44Y964NFBoVASutDpLFFfGnHpEb","2022-11-22 05:35:20","2022-11-22 05:37:03","2022-11-22 05:37:03","","1, 2","","4","3","2","5","2","3","2","4","1, 2, 3","","6"
"i-fmyvkipC3TnqrEXySbVZQZtJepItyWYsIggc1Eu_zrW11s1v_QgH7awKhNpMan","2022-11-22 06:30:30","2022-11-22 06:32:50","2022-11-22 06:32:50","","2, 3","","7","1","2","2","2","2","2","2","1, 3","","3"
"Yw_6SC94q271Sucl5RJMiUer__hzsIQM0VTKNTz3ceKEWEcckMMEZD6AAbzgMmm8","2022-11-22 13:15:06","2022-11-22 13:16:27","2022-11-22 13:16:27","","1, 2, 5","","5","5","4","","2","4","2","2","1, 2, 3, 4","","3"
"wtE5QvgZBZgqcocvNPuoevGcKBYg0n4qRVd2RdRhE8MvqOvjR3FcxN7P01qZCcFX","2022-11-22 13:18:01","2022-11-22 13:19:17","2022-11-22 13:19:17","","1, 2","","9","3","2","2","2","2","1","","1, 2, 3","","2"
"8cQfuFArI3WhTfnxqVk2E52eYAMbE_Je9m2aHtawxPaXWTq_53wU1VzIvzRmR5w-","2022-11-22 13:26:29","2022-11-22 13:28:19","2022-11-22 13:28:19","","1, 2, 3","","9","5","4","","2","2","2","3","1, 2, 3, 4","","5"
"ul4whoKYDs3yOiQdkka1AxM-Yn4XZtNv8lkbdgMHCOcHMRBDYaU-HpDFxhnciBW6","2022-11-22 13:34:10","2022-11-22 13:36:23","2022-11-22 13:36:23","","1, 2","","7","2","5","","2","6","2","1","2, 3","","2"
"ARV0rJVN0a5LNg0MdtPvvdMzyHukmAPaxG6r-nUWJvzHvSmGaOlHtfIZPBXS7J5F","2022-11-22 13:36:24","2022-11-22 13:38:08","2022-11-22 13:38:08","","1, 2","","7","5","4","","2","4","2","6","1, 2, 3","","5"
"aId65G4MmuJxRvw-8v1skybo68nT7cJajVyWTna1zIMXHiXV88uahY-FZn9aaXEV","2022-11-22 14:52:33","2022-11-22 14:54:41","2022-11-22 14:54:41","","1, 2, 4, 5","","6","4","4","","2","2","2","2","1, 3","","4"
"bhFdxaNZuGa12CzwE7RJ3ai4uiBjWR5l5-lhC0plF0vAzlMTOa3b2JKd6vhVxp23","2022-11-22 15:51:12","2022-11-22 15:52:09","2022-11-22 15:52:15","","","","","","","","","","","","","",""
"","2022-11-22 16:10:39","","","","","","","","","","","","","","","",""
"bhFdxaNZuGa12CzwE7RJ3ai4uiBjWR5l5-lhC0plF0vAzlMTOa3b2JKd6vhVxp23","2022-11-22 16:11:49","","2022-11-22 16:15:01","","","","","","","","","","","","","",""
"4PDuJaiK5B3bX_r2bN_lAJ1FRvXp3APlN3XcPbfMxojosXdYo2LiFdsQ3srH5ANH","2022-11-22 17:13:54","2022-11-22 17:17:17","2022-11-22 17:17:22","","1, 2, 3, 5","","5","2","3","1","2","2","2","2","1, 2, 4","","5"
"WBG8SEm1R05PxRTXOLJj5sUwtjl53yS7BN9xDSxnZWTaiRFkUOZ_odF81gWHyPuz","2022-11-22 18:29:42","2022-11-22 18:40:34","2022-11-22 18:40:34","","1, 2","","4","3","2","5","2","2","2","2","1, 2, 3","","1"
"","2022-11-23 01:37:37","","","","","","","","","","","","","","","",""
