"session","created","modified","ended","expired","Part_estudio","Part_estudio_otras","Tiempo_estudio","Tiempo_estudio2","Part_trabajorem","Tiempo_trabajorem","Part_trabajodom","Tiempo_trabajodom","Part_ocio","Tiempo_ocio","Part_personal","Part_personal_otra","Tiempo_personal"
"lMH1F6vQhemtz40-6pW8kwchYx90kHnVw4LzinhKLbpUs9B1vRnSXmwA6q_PnKIw","2022-11-09 22:06:45","2022-11-09 22:13:27","2022-11-09 22:13:27","","","","2","4","1","4","2","2","2","2","1, 2, 3","","2"
"sFNiBJMz2C18lqD6Bfe4TlV0hYrcIX4kTerea0yZ0W6YRI1cNbPjqOILlx8qat_f","2022-11-09 22:18:07","2022-11-09 22:19:30","2022-11-09 22:19:30","","","","4","2","3","2","2","2","2","2","1, 2, 3","","3"
"PiX92aq5AxDVHMIgirQCiu3tmSMzfdmRl6cQW-A2JjJ4OhYFplo5W1HLt0cKOtTJ","2022-11-09 22:26:38","2022-11-09 22:27:21","2022-11-09 22:27:21","","","","3","2","3","2","2","2","2","2","1, 2, 3","","3"
"6RkKh0MjAqRrvjzvCwa245NkAXylq_ORZ1v4ESBWSmrdoS_bMRhAir-ZnIKqGcQH","2022-11-09 23:20:07","2022-11-09 23:21:46","2022-11-09 23:21:46","","","","3","2","1","4","2","2","2","2","1, 2, 3","","2"
"CcBJkU4CCxuHd7ZrOIcmCuXU6LuN-KXpIahnxsazBp2lKEj72jkGS7-FL_qVbzBQ","2022-11-09 23:32:51","2022-11-09 23:33:47","2022-11-09 23:33:47","","","","3","2","4","1","2","2","2","4","1, 2, 3","","5"
"MkQJKMSZHu4U6G2ot-S_tmPzaxpz19Jyxt8nhx6xw4lZhsdKZt2SN-wMR-BFJ50e","2022-11-09 23:47:30","2022-11-09 23:47:49","2022-11-09 23:47:49","","","","1","1","1","1","1","1","1","1","1","","1"
"zVxHjCvIBgjiXNTJ7i4fw6ekfZL_PeBtEWaag3Jis9DTqSd8Q0Nxx9TeAxV7goKn","2022-11-10 00:05:04","2022-11-10 00:06:44","2022-11-10 00:06:44","","","","2","2","3","2","2","2","2","2","1, 2, 3","","2"
"jKUzskwDcPgrxnQlhtIrh4-FTy1YgPUQdUw7Lx_ZqrN9cWRVZJf8SHsTdgo6LJvI","2022-11-10 01:31:22","2022-11-10 01:33:08","2022-11-10 01:33:08","","","","3","1","1","3","2","2","2","5","1, 2, 3","","3"
"DTbCiX7lAjALbfZ8m6Kh7Uj-5HAmdmk9aO2KgTSzoktpUhClH3kSBeKOzh3kr4vK","2022-11-10 02:29:44","2022-11-10 02:32:57","2022-11-10 02:32:57","","","","4","1","4","1","2","3","2","4","1, 2, 3","","3"
"FcgjJK01qDIc0jgZgze9DAZmdGO-glQoM27M7mPJ20wYvdm8FycS2NMITDv2kVo9","2022-11-10 04:57:27","2022-11-10 04:58:50","2022-11-10 04:58:50","","","","4","7","4","1","2","4","2","5","1, 2, 3","","4"
"9S0t-L7Hkwai8xxT49KdmG2FaGcJcbRCetZVxFVSFT2HYP3EYb8uFErK0m4sln6i","2022-11-10 10:36:11","2022-11-10 10:38:38","2022-11-10 10:38:38","","","","3","3","4","1","2","3","2","2","1, 2, 3","","3"
"nwiFbFok8Uz171cVzpZKQII529IUmPEQd69qMuUkgg7pDEf6i0HacsrkZnaBtfoI","2022-11-10 12:45:29","2022-11-10 12:47:32","2022-11-10 12:47:32","","","","5","3","2","5","2","2","2","4","1, 2, 3","","3"
"P48ZWldZsY_lFxHsj9mxu829hxhqsro55fer4tcHh5xM2WMtNeBPXmX0mlqcpo93","2022-11-10 13:02:25","2022-11-10 13:03:18","2022-11-10 13:03:18","","","","3","3","4","1","2","3","2","2","1, 2, 3","","2"
"nc5aeBLkSozHt4JjWxN1sFImgqpoBW1wewLByA2pS9lP5haVp7861kMy6ewJCRqQ","2022-11-10 13:06:37","2022-11-10 13:08:22","2022-11-10 13:08:22","","","","4","4","3","1","2","2","1","1","1, 3","","2"
"hor_09K7H2kEHuktSQZJ05ULLiN6dak4ktUc_Qe5Qno4yQbDv-XhhkOpWs1yV9Og","2022-11-10 14:43:13","2022-11-10 14:45:49","2022-11-10 14:45:49","","","","5","1","1","6","2","2","2","2","1, 2, 3","","4"
"IDRelKEZ0iaFERPqxoz0VCS268b4ege5MpVKbUAFWwWRF0vR-lel7IZpRP5tuAMt","2022-11-10 14:56:42","2022-11-10 14:58:47","2022-11-10 14:58:47","","","","4","2","4","1","2","2","2","3","1, 2, 3","","2"
"bhFdxaNZuGa12CzwE7RJ3ai4uiBjWR5l5-lhC0plF0vAzlMTOa3b2JKd6vhVxp23","2022-11-10 15:27:14","2022-11-10 15:33:28","2022-11-10 15:33:28","","","","4","3","2","5","2","2","2","2","1, 2, 3","","2"
"ghWHaw2h3Z6TiB0ZbDfZv3edNtwfQs7y9ckQuunr4cUIU6WvEC7WnlMpPqDdCCCW","2022-11-10 15:50:10","2022-11-10 15:51:56","2022-11-10 15:51:56","","","","4","3","4","1","2","2","2","2","1, 2, 3","","5"
"jXwiY3JaEtnWbN6_i4h6xFJZFZV8_6xn8ZN-L6fb_P56fp6aKGPfCjNdKPnHIDPc","2022-11-10 15:51:27","2022-11-10 15:54:16","2022-11-10 15:54:16","","","","3","2","1","5","2","3","2","4","1, 2, 3","","5"
"0eFEvj4e3iiN0gQ_WHYXIQN03GRWMI3Hnwq1SBVEFLSXnQSWObkaO6JntiD9d5ZL","2022-11-10 15:52:11","","","","","","","","","","","","","","","",""
"b-DT3TtcnFxG8EoKvISUEZ6jEyafb7rSbGKodElbAHiCxXfQi7RDU-yppS281vGI","2022-11-10 15:52:25","2022-11-10 15:59:17","2022-11-10 15:59:17","","","","4","2","4","1","2","2","2","2","1, 2, 3","","2"
"f5mmdawNANM70A8QX0vKNtL0PeMDRpVGMIs6pcqPm_U_YEN5qEnbYsTgHSkhzkiR","2022-11-10 16:07:52","2022-11-10 16:09:24","2022-11-10 16:09:24","","","","4","2","2","3","2","3","2","2","1, 2, 3","","2"
"cHN7U98IXmr_Ij6qu3bD_KKgqhAgMdOsl93a-9jO91TpRHfmIgz22sB8TRcWHBeA","2022-11-10 16:09:34","2022-11-10 16:12:05","2022-11-10 16:12:05","","","","4","1","4","1","2","2","2","2","1, 2, 3","","4"
"EmCfo8pV0hOt3rpBELTGc2vofN9Bwbg2WAhLDV6gZFoliVMqrS_ajpntKegYPZWL","2022-11-10 16:27:27","2022-11-10 16:29:51","2022-11-10 16:29:51","","","","3","1","3","2","2","2","2","4","1, 2, 3","","3"
