"session","created","modified","ended","expired","satisfaccion_vida","familia_1","familia_2","familia_3","familia_3b","familia_4","e_civil","edad","carrera","anho_curs","pos_pol","opcion_pleb","interes_const","nacionalidad_1","nacionalidad_2","residencia","educ_padre","educ_madre","feedback"
"PiX92aq5AxDVHMIgirQCiu3tmSMzfdmRl6cQW-A2JjJ4OhYFplo5W1HLt0cKOtTJ","2022-11-09 22:28:32","2022-11-09 22:29:04","2022-11-09 22:29:04","","6","3","2","2","","1","1","21","1","","3","1","5","","Chilena","Santiago ","","",""
"6RkKh0MjAqRrvjzvCwa245NkAXylq_ORZ1v4ESBWSmrdoS_bMRhAir-ZnIKqGcQH","2022-11-09 23:24:57","2022-11-09 23:26:10","2022-11-09 23:26:10","","3","5","2","2","","1","1","21","5","","1","1","5","","chilena","PAC","","",""
"CcBJkU4CCxuHd7ZrOIcmCuXU6LuN-KXpIahnxsazBp2lKEj72jkGS7-FL_qVbzBQ","2022-11-09 23:35:11","2022-11-09 23:36:13","2022-11-09 23:36:13","","6","4","2","2","","1","1","22","3","","2","1","5","","Chilena","Santiago","","",""
"MkQJKMSZHu4U6G2ot-S_tmPzaxpz19Jyxt8nhx6xw4lZhsdKZt2SN-wMR-BFJ50e","2022-11-09 23:48:21","2022-11-09 23:49:01","2022-11-09 23:49:01","","7","6","1","1","5","1","1","4","2","","4","2","1","","j","j","","",""
"zVxHjCvIBgjiXNTJ7i4fw6ekfZL_PeBtEWaag3Jis9DTqSd8Q0Nxx9TeAxV7goKn","2022-11-10 00:10:00","2022-11-10 00:11:48","2022-11-10 00:11:48","","8","3","2","2","","1","1","23","5","","1","1","2","","Chilena","Chile","","",""
"jKUzskwDcPgrxnQlhtIrh4-FTy1YgPUQdUw7Lx_ZqrN9cWRVZJf8SHsTdgo6LJvI","2022-11-10 01:35:04","2022-11-10 01:36:10","2022-11-10 01:36:10","","10","5","2","2","","1","1","21","4","","4","1","4","","Chilena","Santiago de Chile","","",""
"DTbCiX7lAjALbfZ8m6Kh7Uj-5HAmdmk9aO2KgTSzoktpUhClH3kSBeKOzh3kr4vK","2022-11-10 02:37:33","2022-11-10 02:39:43","2022-11-10 02:39:43","","5","2","2","2","","1","1","21","4","","3","1","2","","Chile","Santiago","","",""
"FcgjJK01qDIc0jgZgze9DAZmdGO-glQoM27M7mPJ20wYvdm8FycS2NMITDv2kVo9","2022-11-10 05:00:33","2022-11-10 05:02:00","2022-11-10 05:02:00","","7","2","2","2","","2","1","22","3","","3","1","3","","Chilena","Santiago de Chile ","","",""
"9S0t-L7Hkwai8xxT49KdmG2FaGcJcbRCetZVxFVSFT2HYP3EYb8uFErK0m4sln6i","2022-11-10 10:41:53","2022-11-10 10:44:31","2022-11-10 10:44:32","","10","1","","2","","2","1","21","4","","3","1","4","","chilena","Santiago ","","",""
"nwiFbFok8Uz171cVzpZKQII529IUmPEQd69qMuUkgg7pDEf6i0HacsrkZnaBtfoI","2022-11-10 12:50:34","2022-11-10 12:51:46","2022-11-10 12:51:46","","10","3","2","2","","1","1","21","4","","3","1","4","","Chilena","Chile ","","",""
