"session","created","modified","ended","expired","satisfaccion_vida","familia_1","familia_2","familia_3","familia_3b","familia_4","e_civil","edad","carrera","anho_curs","pos_pol","opcion_pleb","interes_const","nacionalidad_1","nacionalidad_2","residencia","educ_padre","educ_madre","feedback"
"h_Q5nxB6xweP2h4Vw5pbSMcZEXKGDmUKP8OsH_U71c9gdZp7qOMnFOLESQ0IkeEi","2022-11-21 23:49:46","2022-11-21 23:50:40","2022-11-21 23:50:41","","6","","","2","","1","1","23","4","2018","2","1","4","Ecuador ","Chilena ","Puente alto ","4","4",""
"ssxxBSExUXbOhfORvAQMKoH2mPThaqeiTV5WY44Y964NFBoVASutDpLFFfGnHpEb","2022-11-22 05:39:28","2022-11-22 05:41:03","2022-11-22 05:41:03","","7","3","2","2","","1","1","24","4","2020","4","1","2","Chile","chilena","Lo Barnechea","3","2",""
"i-fmyvkipC3TnqrEXySbVZQZtJepItyWYsIggc1Eu_zrW11s1v_QgH7awKhNpMan","2022-11-22 06:36:41","2022-11-22 06:39:15","2022-11-22 06:39:15","","9","3","2","2","","1","1","22","4","2019","1","1","2","Chile","Chileno","Puente alto","2","2",""
"Yw_6SC94q271Sucl5RJMiUer__hzsIQM0VTKNTz3ceKEWEcckMMEZD6AAbzgMmm8","2022-11-22 13:18:42","2022-11-22 13:20:08","2022-11-22 13:20:09","","10","4","2","2","","1","1","21","1","2022","1","1","4","Chile","Chilena","Providencia ","4","4",""
"8cQfuFArI3WhTfnxqVk2E52eYAMbE_Je9m2aHtawxPaXWTq_53wU1VzIvzRmR5w-","2022-11-22 13:30:19","2022-11-22 13:31:31","2022-11-22 13:31:31","","4","6","1","2","","2","1","19","1","2021","5","1","4","Chile","Chilena","Santiago centro","4","4",""
"ul4whoKYDs3yOiQdkka1AxM-Yn4XZtNv8lkbdgMHCOcHMRBDYaU-HpDFxhnciBW6","2022-11-22 13:40:40","2022-11-22 13:42:28","2022-11-22 13:42:28","","7","3","2","2","","1","1","26","1","2021","2","1","5","Chile","Chilena ","Buin","2","2",""
"aId65G4MmuJxRvw-8v1skybo68nT7cJajVyWTna1zIMXHiXV88uahY-FZn9aaXEV","2022-11-22 14:57:19","2022-11-22 15:00:15","2022-11-22 15:00:15","","2","6","2","2","","1","1","18","1","2022","3","1","5","Chile","Chilena","San Ramón ","4","3","Tiene buenos puntos a considerar, sin embargo para la próxima sería bueno considerar a la neurodivergencia y discapacidades de cualquier tipo"
"bhFdxaNZuGa12CzwE7RJ3ai4uiBjWR5l5-lhC0plF0vAzlMTOa3b2JKd6vhVxp23","2022-11-22 15:52:40","","2022-11-22 15:59:27","","","","","","","","","","","","","","","","","","","",""
"","2022-11-22 16:08:25","","","","","","","","","","","","","","","","","","","","","",""
"bhFdxaNZuGa12CzwE7RJ3ai4uiBjWR5l5-lhC0plF0vAzlMTOa3b2JKd6vhVxp23","2022-11-22 16:15:01","2022-11-22 18:44:05","2022-11-22 18:44:10","","","","","","","","","","","","","","","","","","","",""
"4PDuJaiK5B3bX_r2bN_lAJ1FRvXp3APlN3XcPbfMxojosXdYo2LiFdsQ3srH5ANH","2022-11-22 17:41:32","2022-11-22 17:42:59","2022-11-22 17:42:59","","8","4","2","2","","2","1","24","1","2018","1","1","4","Chile","Chilena","Peñalolen","4","3",""
"WBG8SEm1R05PxRTXOLJj5sUwtjl53yS7BN9xDSxnZWTaiRFkUOZ_odF81gWHyPuz","2022-11-22 18:54:22","2022-11-22 19:05:37","2022-11-22 19:05:37","","9","4","2","2","","1","1","29","5","2018","4","1","5","Peru","Peruano///chileno","Puente alto","4","3","Está buena, directa, cuesta responder."
"6BSwJps4_1ppSMo6GujABIFQfWMUGGCAsjWAn8vIJRUdGEHpyZGZAt2iCn9WAWM8","2022-11-24 00:04:26","2022-11-24 00:05:40","2022-11-24 00:05:41","","5","5","1","2","","1","1","21","1","2020","1","1","4","Chile","Chilena","Maipú","4","4",""
"","2022-11-24 01:10:30","","","","","","","","","","","","","","","","","","","","","",""
"","2022-11-24 01:10:34","","","","","","","","","","","","","","","","","","","","","",""
"weMSXq7ESjaDEKjnNGbWxj52jPkEA6AJDtbGnXCpskeRv8m7oQUHbvN5LQ9Tnkur","2022-11-24 17:21:33","","","","","","","","","","","","","","","","","","","","","",""
"","2022-11-24 18:02:40","","","","","","","","","","","","","","","","","","","","","",""
